username,title,imageUrl,description,url,publishedAt,author,visited_time
,‘Renaissance: A Film By Beyoncé’ Gets Special Rules For AMC Ticket-Buyers, Backlash Ensues - Deadline,https://deadline.com/wp-content/uploads/2023/07/beyonce-concert-tour.jpg?w=1024,The lessons of Taylor Swift’s The Eras Tour film are apparently being applied to the new Beyoncé  screenings. And that’s rubbing some the wrong way. AMC has published a list of “h…,https://deadline.com/2023/12/renaissance-a-film-by-beyonce-gets-special-rules-for-amc-1235649712/,2023-12-02T22:59:00Z,Bruce Haring
,Rainbow Bridge car explosion: US-Canada bridge still shut after deadly car blast,https://ichef.bbci.co.uk/news/1024/branded_news/1296C/production/_131804167_gettyimages-1797509832-1.jpg,A vehicle that exploded on the Rainbow Bridge was incinerated, killing a couple who have not been named.,https://www.bbc.co.uk/news/world-us-canada-67505126,2023-11-23T17:27:40Z,https://www.facebook.com/bbcnews
,'Provocative' Vivek Ramaswamy border comments anger Canadians,https://ichef.bbci.co.uk/news/1024/branded_news/16662/production/_131664719_gettyimages-1783085038.jpg,The Republican argued the US should build a wall on the Canadian border to halt the flow of fentanyl.,https://www.bbc.co.uk/news/world-us-canada-67372909,2023-11-09T20:30:48Z,https://www.facebook.com/bbcnews,2023-12-03T20:22:52.147909
,New strikes hit Gaza as Israel-Hamas fighting resumes: live updates - CNN,https://cdn.cnn.com/cnnnext/dam/assets/231201003234-01-idf-tanks-gaza-border-113023-file-super-tease.jpg,Israel has recalled its team of negotiators from Qatar after reaching a "dead end" in talks aimed at securing a fresh pause in fighting. Follow for live updates.,https://www.cnn.com/middleeast/live-news/israel-hamas-war-gaza-news-12-2-23/index.html,2023-12-03T01:15:00Z,By Chris Lau, <a href="/profiles/andrew-raine">Andrew Raine</a>
,Sachin Tendulkar lauds Vicky Kaushal's Sam Bahadur at screening, actor pens note - Hindustan Times,https://www.hindustantimes.com/ht-img/img/2023/12/03/1600x900/sam_bahadur_1701566484425_1701566485036.png,Sachin Tendulkar attended the special screening of Vicky Kaushal's recent release Sam Bahadur in Mumbai. Zaheer Khan and Ajit Agarkar were also seen. | Bollywood,https://www.hindustantimes.com/entertainment/bollywood/sachin-tendulkar-super-impressed-by-vicky-kaushal-in-sam-bahadur-actor-responds-101701565437459.html,2023-12-03T01:25:57Z,ANI
,DeSantis hits Iowa campaign milestone but is still far behind Trump, who again mocked his campaign - The Associated Press,https://dims.apnews.com/dims4/default/dcac1a4/2147483647/strip/true/crop/700x394+0+28/resize/1440x810!/quality/90/?url=https%3A%2F%2Fassets.apnews.com%2F90%2F29%2F4e3c1cc7446089a9101a7bdff4c8%2Fdefaultshareimage-copy.png,Ron DeSantis plans to complete his campaign promise to visit each of Iowa’s 99 counties, a timeworn tactic for presidential candidates hoping to make their mark in the leadoff state. But for DeSantis, his crowning moment Saturday, like much of his campaign
,DeSantis hits Iowa campaign milestone but is still far behind Trump, who again mocked his campaign - The Associated Press,https://dims.apnews.com/dims4/default/dcac1a4/2147483647/strip/true/crop/700x394+0+28/resize/1440x810!/quality/90/?url=https%3A%2F%2Fassets.apnews.com%2F90%2F29%2F4e3c1cc7446089a9101a7bdff4c8%2Fdefaultshareimage-copy.png,Ron DeSantis plans to complete his campaign promise to visit each of Iowa’s 99 counties, a timeworn tactic for presidential candidates hoping to make their mark in the leadoff state. But for DeSantis, his crowning moment Saturday, like much of his campaign
abcd,DeSantis hits Iowa campaign milestone but is still far behind Trump, who again mocked his campaign - The Associated Press,https://dims.apnews.com/dims4/default/dcac1a4/2147483647/strip/true/crop/700x394+0+28/resize/1440x810!/quality/90/?url=https%3A%2F%2Fassets.apnews.com%2F90%2F29%2F4e3c1cc7446089a9101a7bdff4c8%2Fdefaultshareimage-copy.png,Ron DeSantis plans to complete his campaign promise to visit each of Iowa’s 99 counties, a timeworn tactic for presidential candidates hoping to make their mark in the leadoff state. But for DeSantis, his crowning moment Saturday, like much of his campaign
abcd,GM is attracted to these new non-rare earth magnets for its EV motors,https://cdn.vox-cdn.com/thumbor/2R77qZwXaGDwGsXb6nK9lOBavsQ=/0x0:2400x1779/1200x628/filters:focal(1200x890:1201x891)/cdn.vox-cdn.com/uploads/chorus_asset/file/25067147/GM_Niron_1.jpg,GM is teaming up with Niron Magnetics to explore ways to reduce the company’s dependence on China for magnets in its EV motors.,https://www.theverge.com/2023/11/8/23951557/gm-niron-magnet-iron-nitride-ev-motor-investment,2023-11-08T13:00:00Z,Andrew J. Hawkins,2023-12-03T21:44:22.501747700
abcd,GM is attracted to these new non-rare earth magnets for its EV motors,https://cdn.vox-cdn.com/thumbor/2R77qZwXaGDwGsXb6nK9lOBavsQ=/0x0:2400x1779/1200x628/filters:focal(1200x890:1201x891)/cdn.vox-cdn.com/uploads/chorus_asset/file/25067147/GM_Niron_1.jpg,GM is teaming up with Niron Magnetics to explore ways to reduce the company’s dependence on China for magnets in its EV motors.,https://www.theverge.com/2023/11/8/23951557/gm-niron-magnet-iron-nitride-ev-motor-investment,2023-11-08T13:00:00Z,Andrew J. Hawkins,2023-12-03T21:48:23.532776500
